PUMA7CE,GEOID,AFACT
0100100,01033,0.288462
0100100,01059,0.211538
0100100,01077,0.5
0100200,01083,1.0
0100300,01079,0.261905
0100300,01103,0.738095
0100401,01089,1.0
0100402,01089,1.0
0100403,01089,1.0
0100501,01089,0.103448
0100501,01095,0.896552
0100600,01049,0.567568
0100600,01071,0.432432
0100700,01019,0.195122
0100700,01055,0.804878
0100800,01015,1.0
0100900,01009,0.4
0100900,01115,0.6
0101000,01043,0.536585
0101000,01093,0.268293
0101000,01133,0.195122
0101100,01007,0.170213
0101100,01057,0.106383
0101100,01063,0.085106
0101100,01065,0.148936
0101100,01075,0.085106
0101100,01091,0.170213
0101100,01107,0.12766
0101100,01119,0.106383
0101201,01125,1.0
0101202,01125,1.0
0101301,01073,0.393939
0101301,01127,0.606061
0101401,01073,1.0
0101402,01073,1.0
0101403,01073,1.0
0101404,01073,1.0
0101501,01117,1.0
0101502,01021,0.352941
0101502,01117,0.647059
0101600,01027,0.105263
0101600,01029,0.105263
0101600,01111,0.157895
0101600,01121,0.631579
0101700,01001,0.404762
0101700,01047,0.404762
0101700,01085,0.095238
0101700,01105,0.095238
0101801,01101,1.0
0101802,01101,1.0
0101901,01051,0.769231
0101901,01101,0.230769
0102000,01011,0.1
0102000,01017,0.225
0102000,01037,0.075
0102000,01087,0.3
0102000,01123,0.3
0102101,01081,1.0
0102201,01081,0.419355
0102201,01113,0.580645
0102300,01061,0.157895
0102300,01067,0.157895
0102300,01069,0.684211
0102400,01031,0.533333
0102400,01045,0.466667
0102500,01005,0.183673
0102500,01013,0.183673
0102500,01039,0.285714
0102500,01041,0.122449
0102500,01109,0.22449
0102600,01023,0.085106
0102600,01025,0.191489
0102600,01035,0.106383
0102600,01053,0.212766
0102600,01099,0.191489
0102600,01129,0.106383
0102600,01131,0.106383
0102701,01003,1.0
0102702,01003,1.0
0102801,01097,1.0
0102802,01097,1.0
0102803,01097,1.0
0200101,02020,1.0
0200102,02020,1.0
0200200,02122,0.368421
0200200,02170,0.631579
0200300,02063,0.04878
0200300,02066,0.02439
0200300,02068,0.02439
0200300,02090,0.536585
0200300,02100,0.02439
0200300,02110,0.146341
0200300,02130,0.121951
0200300,02230,0.02439
0200300,02240,0.04878
0200400,02013,0.027027
0200400,02016,0.054054
0200400,02050,0.081081
0200400,02060,0.027027
0200400,02070,0.054054
0200400,02105,0.027027
0200400,02150,0.135135
0200400,02158,0.027027
0200400,02164,0.027027
0200400,02180,0.054054
0200400,02185,0.081081
0200400,02188,0.054054
0200400,02195,0.027027
0200400,02198,0.108108
0200400,02220,0.054054
0200400,02275,0.027027
0200400,02282,0.027027
0200400,02290,0.108108
0400101,04013,1.0
0400102,04013,1.0
0400103,04013,1.0
0400104,04013,1.0
0400105,04013,1.0
0400106,04013,1.0
0400107,04013,1.0
0400108,04013,1.0
0400109,04013,1.0
0400110,04013,1.0
0400111,04013,1.0
0400112,04013,1.0
0400113,04013,1.0
0400114,04013,1.0
0400115,04013,1.0
0400116,04013,1.0
0400117,04013,1.0
0400118,04013,1.0
0400119,04013,1.0
0400120,04013,1.0
0400121,04013,1.0
0400122,04013,1.0
0400123,04013,1.0
0400124,04013,1.0
0400125,04013,1.0
0400126,04013,1.0
0400127,04013,1.0
0400128,04013,1.0
0400129,04013,1.0
0400130,04013,1.0
0400131,04013,1.0
0400132,04013,1.0
0400133,04013,1.0
0400134,04013,1.0
0400135,04013,1.0
0400400,04007,0.571429
0400400,04009,0.321429
0400400,04011,0.107143
0400500,04005,1.0
0400601,04015,1.0
0400602,04015,1.0
0400701,04012,0.266667
0400701,04027,0.733333
0400803,04021,1.0
0400805,04021,1.0
0400807,04021,1.0
0400900,04003,0.730769
0400900,04023,0.269231
0401000,04001,0.327273
0401000,04017,0.672727
0401101,04027,1.0
0401901,04019,1.0
0401902,04019,1.0
0401903,04019,0.933333
0401903,04021,0.066667
0401904,04019,1.0
0401905,04019,1.0
0401906,04019,1.0
0401907,04019,1.0
0401908,04019,1.0
0401909,04019,1.0
0402502,04025,1.0
0402503,04025,1.0
0500101,05007,1.0
0500102,05007,1.0
0500201,05143,1.0
0500202,05143,1.0
0500300,05005,0.25641
0500300,05009,0.179487
0500300,05015,0.205128
0500300,05087,0.102564
0500300,05089,0.128205
0500300,05101,0.051282
0500300,05129,0.076923
0500400,05023,0.243243
0500400,05049,0.108108
0500400,05063,0.27027
0500400,05065,0.108108
0500400,05137,0.108108
0500400,05141,0.162162
0500500,05021,0.171429
0500500,05055,0.342857
0500500,05075,0.171429
0500500,05121,0.142857
0500500,05135,0.171429
0500600,05035,0.344828
0500600,05037,0.103448
0500600,05077,0.068966
0500600,05093,0.241379
0500600,05107,0.12069
0500600,05123,0.12069
0500700,05031,0.733333
0500700,05111,0.266667
0500800,05067,0.181818
0500800,05095,0.090909
0500800,05117,0.090909
0500800,05145,0.575758
0500800,05147,0.060606
0500900,05045,0.608696
0500900,05085,0.391304
0501000,05029,0.171429
0501000,05071,0.171429
0501000,05115,0.485714
0501000,05149,0.171429
0501100,05033,0.294118
0501100,05047,0.098039
0501100,05131,0.607843
0501200,05061,0.069767
0501200,05081,0.139535
0501200,05083,0.139535
0501200,05091,0.325581
0501200,05113,0.162791
0501200,05127,0.069767
0501200,05133,0.093023
0501300,05019,0.117647
0501300,05051,0.588235
0501300,05059,0.176471
0501300,05097,0.058824
0501300,05109,0.058824
0501400,05053,0.131579
0501400,05105,0.078947
0501400,05125,0.789474
0501501,05119,1.0
0501502,05119,1.0
0501600,05001,0.125
0501600,05003,0.109375
0501600,05011,0.078125
0501600,05017,0.0625
0501600,05025,0.03125
0501600,05041,0.078125
0501600,05043,0.078125
0501600,05069,0.375
0501600,05079,0.0625
0501700,05013,0.044444
0501700,05027,0.155556
0501700,05039,0.066667
0501700,05057,0.155556
0501700,05073,0.066667
0501700,05099,0.066667
0501700,05103,0.177778
0501700,05139,0.266667
0600101,06001,1.0
0600111,06001,1.0
0600112,06001,1.0
0600113,06001,1.0
0600114,06001,1.0
0600115,06001,1.0
0600116,06001,1.0
0600117,06001,1.0
0600118,06001,1.0
0600119,06001,1.0
0600120,06001,1.0
0600121,06001,1.0
0600122,06001,1.0
0600123,06001,1.0
0600300,06003,0.016949
0600300,06005,0.169492
0600300,06009,0.237288
0600300,06027,0.101695
0600300,06043,0.101695
0600300,06051,0.067797
0600300,06109,0.305085
0600700,06007,1.0
0601100,06011,0.1875
0601100,06021,0.25
0601100,06103,0.4375
0601100,06105,0.125
0601301,06013,1.0
0601305,06013,1.0
0601308,06013,1.0
0601309,06013,1.0
0601310,06013,1.0
0601311,06013,1.0
0601312,06013,1.0
0601313,06013,1.0
0601314,06013,1.0
0601500,06015,0.2
0601500,06035,0.2
0601500,06049,0.088889
0601500,06063,0.155556
0601500,06093,0.355556
0601700,06017,1.0
0601901,06019,1.0
0601902,06019,1.0
0601903,06019,1.0
0601904,06019,1.0
0601905,06019,1.0
0601906,06019,1.0
0601907,06019,1.0
0602300,06023,1.0
0602500,06025,1.0
0602903,06029,1.0
0602904,06029,1.0
0602905,06029,1.0
0602906,06029,1.0
0602907,06029,1.0
0602908,06029,1.0
0603100,06031,1.0
0603300,06033,0.466667
0603300,06045,0.533333
0603703,06037,1.0
0603704,06037,1.0
0603705,06037,1.0
0603706,06037,1.0
0603707,06037,1.0
0603708,06037,1.0
0603709,06037,1.0
0603710,06037,1.0
0603711,06037,1.0
0603712,06037,1.0
0603713,06037,1.0
0603714,06037,1.0
0603715,06037,1.0
0603716,06037,1.0
0603717,06037,1.0
0603718,06037,1.0
0603719,06037,1.0
0603720,06037,1.0
0603721,06037,1.0
0603722,06037,1.0
0603723,06037,1.0
0603724,06037,1.0
0603725,06037,1.0
0603728,06037,1.0
0603730,06037,1.0
0603731,06037,1.0
0603732,06037,1.0
0603733,06037,1.0
0603734,06037,1.0
0603735,06037,1.0
0603736,06037,1.0
0603737,06037,1.0
0603738,06037,1.0
0603739,06037,1.0
0603740,06037,1.0
0603741,06037,1.0
0603742,06037,1.0
0603743,06037,1.0
0603744,06037,1.0
0603745,06037,1.0
0603746,06037,1.0
0603747,06037,1.0
0603748,06037,1.0
