year,agi_lo,agi_hi,tier_label,n_returns,agi_less_deficit_M,total_income_M,wages_M,taxable_interest_M,ordinary_div_M,qualified_div_M,business_net_inc_M,business_net_loss_M,capgain_distributions_M,schd_taxable_gain_M,schd_taxable_loss_M,ira_distributions_M,pensions_total_M,total_rental_royalty_M,partnership_net_inc_M,partnership_net_loss_M,scorp_net_inc_M,scorp_net_loss_M,social_security_taxable_M,itemized_M,taxable_income_M,income_tax_before_credits_M,capgain_M,business_M,dividends_M,retirement_M
2022,1,5000.0,$1-$5K,8195781.0,19538.869,20403.517,20111.86,498.432,1002.127,626.68,4846.784,1243.038,86.558,655.402,734.893,956.45,8681.447,338.802,157.881,513.797,246.011,690.515,36.938,2212.245,213.811,49.108,7.0670000000000215,2803.3259999999996,1002.127,9674.835000000001
2022,5000,10000.0,$5K-$10K,8747727.0,66070.756,67454.639,49932.161,675.967,1342.704,802.923,10536.163,3390.07,182.403,1075.066,658.94,2516.774,10839.26,1004.32,402.096,442.121,292.912,584.635,277.763,11186.695,509.165,76.949,598.529,6814.345,1342.704,13633.797
2022,10000,15000.0,$10K-$15K,9642321.0,120502.825,123188.503,83472.741,757.213,1799.586,1089.569,23775.556,4750.759,188.178,1256.699,658.84,3889.372,17268.768,1313.496,355.103,250.994,486.657,848.888,574.534,2765.492,2938.421,366.463,786.037,18766.675,1799.586,21732.674
2022,15000,20000.0,$15K-$20K,9058382.0,157738.693,160603.93,114917.988,858.052,1961.601,1217.055,25668.295,6523.057,215.886,1258.729,590.974,4566.996,19136.48,1176.753,462.131,472.824,583.158,546.682,1828.129,3989.446,24431.244,2455.524,883.641,19171.020999999997,1961.601,25531.605
2022,20000,25000.0,$20K-$25K,8035277.0,180311.082,182617.871,142024.298,746.963,1927.607,1221.401,17560.336,6844.014,154.072,1537.561,564.018,4833.461,20089.714,1429.319,556.069,384.642,798.35,763.518,3692.023,5050.663,51892.301,5228.484,1127.6149999999998,10922.581,1927.607,28615.198
2022,25000,30000.0,$25K-$30K,8005289.0,219958.083,222535.852,179101.569,825.814,2045.508,1208.577,16468.043,6144.47,185.113,1784.653,581.279,5327.172,22429.177,1493.65,797.127,745.977,1214.771,1089.706,5137.194,5703.689,85131.728,8950.835,1388.487,10499.788,2045.508,32893.543
2022,30000,40000.0,$30K-$40K,15771561.0,550490.149,555599.556,458154.921,1844.279,4236.334,2701.33,28615.046,10660.469,421.788,3981.59,1232.466,10566.983,50139.171,2800.298,1951.91,1149.204,2929.046,1858.699,16288.336,14494.331,278222.619,30149.194,3170.9120000000003,19827.629999999994,4236.334,76994.49
2022,40000,50000.0,$40K-$50K,13255063.0,593955.496,599045.431,491501.148,1577.729,4878.94,3339.456,23231.693,7999.679,308.187,3384.009,1246.685,12521.815,87280.416,2722.97,1850.336,1467.106,3082.848,1310.679,22132.636,15604.243,358916.8,39898.555,2445.511,17387.412999999997,4878.94,121934.867
2022,50000,75000.0,$50K-$75K,23805797.0,1466486.055,1478293.85,1150473.333,5341.764,14654.866,10009.937,45622.131,11430.44,1186.628,13328.918,3057.87,36656.755,165452.006,7819.997,4589.954,3138.594,12311.632,3737.931,78864.758,51651.608,1007053.999,122066.429,11457.676,44216.752,14654.866,280973.519
2022,75000,100000.0,$75K-$100K,15181035.0,1315619.561,1325631.256,987573.283,4965.163,16495.243,11386.257,37229.434,8340.188,1359.33,14586.283,2905.088,44499.088,179611.887,7904.055,6021.603,2849.233,12098.356,3147.742,78886.207,53445.883,979156.79,131394.004,13040.525,41012.23,16495.243,302997.182
2022,100000,200000.0,$100K-$200K,25887136.0,3567047.571,3597197.93,2619600.305,17661.595,58133.031,42106.183,102878.354,17942.473,4073.791,69765.168,7466.456,146268.928,507229.081,26187.853,27193.979,11085.367,54285.528,10258.755,171524.062,151517.219,2884827.377,439843.814,66372.50300000001,145071.266,58133.031,825022.0710000001
2022,200000,500000.0,$200K-$500K,10017626.0,2891064.828,2924192.534,2010514.162,20375.918,83427.872,64535.479,103480.907,10344.497,3461.697,150434.0,5705.378,118094.434,319047.092,32430.61,70924.621,17915.36,127744.318,10948.036,62981.505,136240.61,2546130.393,500320.082,148190.31900000002,262941.95300000004,83427.872,500123.031
2022,500000,1000000.0,$500K-$1M,1674608.0,1124299.469,1140608.327,652360.162,11558.538,47800.937,37096.245,43196.167,3813.934,951.661,122254.903,1467.163,27676.43,66577.278,19544.277,75395.435,14009.247,111710.531,5599.46,10628.872,54792.042,1029732.84,260437.884,121739.401,206879.492,47800.937,104882.58000000002
2022,1000000,1500000.0,$1M-$1.5M,360882.0,435177.502,441026.49,201078.168,6183.046,21561.868,16687.226,15635.538,1560.22,0.0,68052.04,350.146,6463.776,18042.784,7186.099,44835.141,7453.173,64784.994,2691.171,2420.263,21274.748,398810.86,113951.006,67701.894,113551.109,21561.868,26926.822999999997
2022,1500000,2000000.0,$1.5M-$2M,148221.0,254476.785,257432.817,101222.017,4095.63,13893.099,10708.071,8068.249,961.547,0.0,45324.707,143.678,2784.109,7211.207,4806.341,30483.673,5555.828,45248.962,1589.08,1019.752,12194.361,232503.836,69393.007,45181.029,75694.42899999999,13893.099,11015.068000000001
2022,2000000,5000000.0,$2M-$5M,208129.0,621044.404,626114.4,202143.391,12342.959,36124.96,27882.261,15476.265,2413.058,0.0,145075.477,200.629,4999.976,13141.378,11775.925,75289.227,14874.495,121207.183,4769.442,1531.738,29514.407,566143.508,171945.771,144874.84800000003,189915.68,36124.96,19673.092
2022,5000000,10000000.0,$5M-$10M,52968.0,362815.724,364333.497,95902.801,8523.479,21509.269,16627.301,6585.206,1394.148,0.0,109907.46,48.564,1580.337,4099.993,5725.111,41778.975,9914.133,72523.417,2809.765,400.286,18019.722,329548.099,100030.718,109858.89600000001,106769.552,21509.269,6080.616
2022,10000000,inf,$10M+,34630.0,1051519.384,1053169.247,152316.841,31398.399,75743.296,61557.527,10433.033,3360.952,0.0,500991.294,24.625,1592.011,3877.241,10589.707,100737.982,38296.26,176134.053,11443.499,279.021,78344.359,938022.489,263628.575,500966.669,234204.35700000002,75743.296,5748.273
