program,year,unit,count,annual_dollars_millions,source
snap,2022,household,95820,900.7,"USDA-FNS SNAP State Activity Report FY2022, Tables 28-29 (Hawaii avg monthly HHs + annual issuance; FY2022 figures elevated by COVID-19 emergency allotments active through March 2023)"
snap,2023,household,85700,485.4,"HI DHS SNAP State Activity Reports, FY2023 average monthly + USDA-FNS Hawaii allotments"
snap,2024,household,87100,506.2,"HI DHS SNAP State Activity Reports, FY2024 average monthly (provisional) + USDA-FNS Hawaii allotments"
ssi,2023,person,22300,225.1,"SSA Annual Statistical Supplement 2023, Table 7.A4 (SSI by State)"
ssi,2024,person,22600,232.4,"SSA Annual Statistical Supplement 2024 provisional"
ssi_hi_supplement,2023,person,22300,1.3,"Derived from SSI count × $5/month state supplement"
ssi_hi_supplement,2024,person,22600,1.4,"Derived from SSI count × $5/month state supplement"
eitc,2022,return,84010,184.7,"IRS SOI ZIP Code Data 2022 (ZIP=00000 state-total row), Hawaii — Earned income credit columns N59660/A59660"
hi_eitc,2023,return,84470,77.054,"HI DOTAX Tax Credits Claimed report TY 2023, Table A-1 ($77.054M) and Table A-2 (84,470 returns), https://files.hawaii.gov/tax/stats/stats/credits/2023credit_tables.xlsx. TY 2023 is the first refundable year (Act 209, 2023); take-up rose from $19.79M (TY22 non-refundable) to $77.05M (+289%) per Table 5. Count effectively matches federal EITC claimers (~84k) — near-100% take-up as expected for an auto-attached refundable state credit."
ctc,2022,return,154580,469.5,"IRS SOI ZIP Code Data 2022 (ZIP=00000 state-total row), Hawaii — nonrefundable CTC ($351.7M) + ACTC ($117.8M); equivalent to IRS SOI Historic Table 2"
actc,2022,return,60600,117.8,"IRS SOI ZIP Code Data 2022 (ZIP=00000 state-total row), Hawaii — Additional/refundable CTC columns N11070/A11070"
housing,2022,household,15600,140.0,"HUD Picture of Subsidized Households FY2022 + HPHA/local-PHA reports: ~9,400 HCV + ~6,200 public-housing households in Hawaii; ~$140M federal HAP + operating subsidy outlay (Honolulu MSA payment standard × tenant rent share)"
childcare_subsidy,2022,household,3500,50.0,"HI DHS BESSD Child Care Subsidy Program (CCSP) FY2022 — ~6,000 children served via ~3,500 households at ~$50M annual subsidy outlay (1.7 kids/family avg)"
wic,2022,person,31000,22.3,"USDA-FNS WIC Program Data FY2022 — Hawaii average monthly participants (women + infants + children combined); $22.3M annual food-package outlay"
liheap,2022,household,6500,2.0,"HI DHS BESSD LIHEAP FY2022 — ~6,500 HHs served at ~$2M total federal block-grant outlay (cooling-assistance focus)"
school_lunch_free,2022,person,55000,42.0,"USDA-FNS NSLP Hawaii FY2022 — ~55,000 free-meal-eligible students; ~$42M (school year × federal Hawaii free-meal reimbursement rate $4.21)"
