age,hh_size,income,moop
86.0,4,192590.42452501028,2894.76
88.0,2,44162.364829861704,3402.9
77.0,1,44494.81069308054,2426.7
32.0,3,133977.3840721846,2944.82
78.0,1,187243.29974535087,5234.87
65.0,2,156578.39424634396,3334.82
50.0,1,39625.606284916925,620.28
27.0,2,70471.99335085289,2088.26
75.0,3,84498.32358996819,2179.71
66.0,3,171723.11430431748,2549.53
74.0,1,57521.0389656173,5209.89
34.0,3,63103.46747020037,1918.5
69.0,2,30586.617735112068,2074.12
78.0,2,179169.14430837793,4311.28
55.0,1,89257.53222232401,2508.02
48.0,2,96849.76334252706,1997.91
86.0,1,179791.88039874646,2277.88
84.0,3,354217.235253507,9056.82
78.0,1,55228.662861958976,2322.79
54.0,4,74777.16610678606,1571.83
28.0,4,95714.39631766475,2572.96
78.0,1,177013.31448451275,2564.59
76.0,3,47113.51368552517,1418.27
71.0,1,74678.46806355093,1584.95
54.0,4,98939.78617778169,2917.38
42.0,3,298903.0331514875,1940.62
35.0,4,205883.84066491562,2037.67
69.0,1,37202.371738970236,2135.8
41.0,1,144441.52351547196,1303.02
56.0,4,18185.68069476606,2035.0
43.0,2,43635.88996262632,887.29
66.0,1,32023.552451315074,1291.19
45.0,4,21646.812963154785,2764.57
57.0,2,61971.73659589589,2139.18
59.0,2,24469.19767404244,2994.41
54.0,2,78950.19533211485,1815.92
55.0,4,35806.13671760149,1202.7
76.0,2,78527.74195934845,1663.9
63.0,4,75939.26322375519,1551.52
51.0,1,49265.24128411636,646.44
49.0,1,125854.71126307534,1169.31
68.0,3,71891.38401850189,4008.03
40.0,4,139568.8628024737,1804.26
40.0,2,132110.9687071538,2761.3
47.0,3,190897.1937821599,3895.8
26.0,2,53214.39719541511,825.62
53.0,1,49471.284031791656,792.62
49.0,2,48837.530163342526,1055.1
62.0,4,38623.74824193648,1015.36
78.0,1,24793.08566190175,4827.37
36.0,3,75725.81616230514,3066.67
65.0,5,121683.24815010274,5684.07
66.0,1,26013.441536621704,4022.86
21.0,1,69355.97151959922,1156.28
51.0,1,39646.35574468109,488.95
21.0,1,62023.31302702683,744.66
79.0,2,77132.64594871386,2534.64
36.0,2,243705.0431209891,2400.88
53.0,5,162458.79085581127,5225.92
88.0,2,19042.37991361872,7468.66
30.0,2,24145.640054161842,4630.31
60.0,2,170004.81020018746,3270.56
25.0,1,31436.322763632124,521.0
30.0,1,70260.00495664055,962.88
68.0,2,47102.68097376307,2597.26
49.0,1,31575.68096703918,476.58
38.0,5,32595.592176311107,1598.97
70.0,2,211284.52357316794,3656.29
89.0,2,55259.71044297593,2572.32
69.0,1,153318.77872422256,4154.24
63.0,5,46940.33396120258,3384.84
53.0,1,57859.4105598418,1201.29
49.0,3,48605.68908719387,2278.01
66.0,2,36108.24370871561,3199.68
54.0,2,152453.6627378352,2204.85
62.0,4,69274.47013698,2536.98
38.0,1,40388.56224218399,503.62
45.0,4,48703.655447781755,1594.53
71.0,2,90017.35215499734,4013.18
21.0,2,62708.66814301664,650.88
30.0,2,59706.745859788854,1346.45
66.0,1,28977.936763916267,2707.65
41.0,5,202432.24097054254,2573.04
66.0,4,51509.26897097922,3401.25
47.0,5,52625.94219393558,724.25
43.0,3,41594.63419034339,861.51
65.0,1,55844.14942986298,3177.13
20.0,1,97166.34602054332,1175.12
77.0,1,80518.81316858216,2929.75
36.0,2,66703.04701669276,1127.54
61.0,4,148682.8447356118,1551.89
81.0,2,82319.1441307848,4991.13
43.0,4,96600.03283234441,1753.81
82.0,5,37212.68288618333,1598.28
54.0,1,56669.91923649173,650.47
57.0,4,77269.81848001704,1547.85
80.0,4,112908.76194710642,5914.33
72.0,2,154921.99937107757,3933.11
85.0,2,60594.15206707505,1325.12
29.0,2,47288.76173738335,1554.98
35.0,1,40526.50461052498,837.87
48.0,2,154964.97641337893,3066.84
41.0,2,134213.6842619776,1713.8
38.0,3,129293.9717104477,2090.02
77.0,2,133031.8107664789,4024.47
85.0,3,101653.32007033216,3221.48
36.0,1,158240.29305652343,2096.84
80.0,3,47614.35619679722,1963.03
68.0,5,80210.13252590643,2568.03
21.0,2,196834.92920031236,1542.45
51.0,1,165625.50872643501,913.02
38.0,1,41658.83943820204,708.24
40.0,1,144551.13010836134,1197.6
56.0,4,31916.833146707067,4410.23
45.0,2,105254.83931661487,2147.47
80.0,2,30757.924546079914,2139.19
74.0,5,95083.2642314428,3032.2
65.0,3,31863.43833675675,1815.93
43.0,4,65635.70485125798,1779.45
77.0,4,48271.079162798625,2285.84
46.0,2,48246.83334781306,1253.67
42.0,1,39358.61468717406,941.18
23.0,5,234392.82450332106,1453.98
59.0,1,63353.443937473,1167.72
48.0,4,88639.84347331396,2941.08
39.0,2,42593.430120804325,1165.66
75.0,3,33292.47730914544,1679.55
57.0,1,207378.54170544114,1926.57
26.0,2,67653.29497547756,2276.18
34.0,4,119606.17988835716,3018.32
83.0,2,44976.24822631798,2921.03
57.0,4,70708.33247045393,1153.54
67.0,2,35572.82848643791,2669.67
32.0,3,58202.069895192,1986.49
29.0,5,162308.8302922215,3853.8
