zip,county
96701,Honolulu
96703,Honolulu
96704,Hawaii
96705,Kauai
96706,Honolulu
96707,Honolulu
96708,Maui
96709,Honolulu
96710,Hawaii
96712,Honolulu
96713,Maui
96714,Kauai
96716,Kauai
96717,Honolulu
96718,Hawaii
96719,Hawaii
96720,Hawaii
96722,Kauai
96725,Hawaii
96726,Hawaii
96727,Hawaii
96728,Hawaii
96729,Maui
96730,Honolulu
96731,Honolulu
96732,Maui
96733,Maui
96734,Honolulu
96737,Hawaii
96738,Hawaii
96739,Hawaii
96740,Hawaii
96741,Kauai
96742,Maui
96743,Hawaii
96744,Honolulu
96745,Hawaii
96746,Kauai
96747,Kauai
96748,Maui
96749,Hawaii
96750,Hawaii
96751,Kauai
96752,Kauai
96753,Maui
96754,Kauai
96755,Hawaii
96756,Kauai
96757,Maui
96759,Honolulu
96760,Hawaii
96761,Maui
96762,Honolulu
96763,Honolulu
96764,Hawaii
96765,Maui
96766,Kauai
96767,Maui
96768,Maui
96769,Kauai
96770,Maui
96771,Hawaii
96772,Hawaii
96773,Hawaii
96774,Hawaii
96775,Hawaii
96776,Hawaii
96777,Hawaii
96778,Hawaii
96779,Maui
96780,Hawaii
96781,Hawaii
96782,Honolulu
96783,Hawaii
96784,Maui
96785,Hawaii
96786,Honolulu
96788,Maui
96789,Honolulu
96790,Maui
96791,Honolulu
96792,Honolulu
96793,Maui
96795,Honolulu
96796,Kauai
96797,Honolulu
96813,Honolulu
96814,Honolulu
96815,Honolulu
96816,Honolulu
96817,Honolulu
96818,Honolulu
96819,Honolulu
96820,Honolulu
96821,Honolulu
96822,Honolulu
96823,Honolulu
96824,Honolulu
96825,Honolulu
96826,Honolulu
96828,Honolulu
96830,Honolulu
96836,Honolulu
96837,Honolulu
96838,Honolulu
96839,Honolulu
96841,Honolulu
96843,Honolulu
96844,Honolulu
96846,Honolulu
96847,Honolulu
96848,Honolulu
96849,Honolulu
96850,Honolulu
96853,Honolulu
96854,Honolulu
96857,Honolulu
96858,Honolulu
96859,Honolulu
96860,Honolulu
96861,Honolulu
96863,Honolulu
