STATEFIPS,STATE,ZIPCODE,agi_stub,N1,A00100,N59660,A59660,N11070,A11070,N2,N03220,A03220
15,HI,00000,0,674660.0000,56502929.000,84010.0000,184690.0000,60600.0000,117786.0000,1217160.0000,14350.0000,4170.0000
15,HI,96701,0,20680.0000,1793502.0000,1790.0000,3823.0000,1270.0000,2380.0000,35490.0000,470.0000,130.0000
15,HI,96704,0,2630.0000,186154.0000,440.0000,905.0000,290.0000,577.0000,4700.0000,40.0000,11.0000
15,HI,96706,0,36550.0000,2790178.0000,4450.0000,10397.0000,3930.0000,7754.0000,73950.0000,830.0000,244.0000
15,HI,96707,0,20470.0000,1686882.0000,2220.0000,5011.0000,1860.0000,3710.0000,40150.0000,550.0000,154.0000
15,HI,96708,0,4290.0000,379460.0000,730.0000,1291.0000,390.0000,676.0000,7400.0000,110.0000,32.0000
15,HI,96712,0,3370.0000,316900.0000,470.0000,877.0000,290.0000,544.0000,6040.0000,100.0000,25.0000
15,HI,96713,0,810.0000,45582.0000,200.0000,403.0000,130.0000,300.0000,1570.0000,20.0000,6.0000
15,HI,96717,0,1860.0000,122742.0000,370.0000,891.0000,300.0000,653.0000,4050.0000,90.0000,27.0000
15,HI,96720,0,23910.0000,1635690.0000,3860.0000,9238.0000,2800.0000,5283.0000,43610.0000,720.0000,212.0000
15,HI,96722,0,980.0000,135555.0000,100.0000,134.0000,40.0000,71.0000,1640.0000,0.0000,0.0000
15,HI,96725,0,1610.0000,139643.0000,210.0000,515.0000,150.0000,296.0000,2980.0000,40.0000,13.0000
15,HI,96727,0,2420.0000,157526.0000,350.0000,750.0000,250.0000,482.0000,4470.0000,40.0000,14.0000
15,HI,96730,0,740.0000,64536.0000,80.0000,118.0000,50.0000,95.0000,1390.0000,20.0000,6.0000
15,HI,96731,0,1280.0000,89654.0000,230.0000,570.0000,190.0000,414.0000,2740.0000,40.0000,13.0000
15,HI,96732,0,12930.0000,847965.0000,1760.0000,3927.0000,1320.0000,2540.0000,23360.0000,180.0000,49.0000
15,HI,96734,0,22220.0000,2676904.0000,1630.0000,3108.0000,1430.0000,2790.0000,42070.0000,560.0000,164.0000
15,HI,96738,0,3630.0000,322283.0000,390.0000,956.0000,320.0000,690.0000,6780.0000,50.0000,17.0000
15,HI,96740,0,15550.0000,1356150.0000,2210.0000,5036.0000,1590.0000,3284.0000,27940.0000,280.0000,81.0000
15,HI,96741,0,2710.0000,261255.0000,230.0000,436.0000,170.0000,327.0000,4930.0000,70.0000,18.0000
15,HI,96743,0,6280.0000,728097.0000,720.0000,1608.0000,540.0000,1043.0000,11610.0000,180.0000,52.0000
15,HI,96744,0,26750.0000,2515887.0000,2200.0000,4555.0000,1630.0000,3178.0000,47850.0000,750.0000,220.0000
15,HI,96746,0,8970.0000,659788.0000,1170.0000,2482.0000,820.0000,1590.0000,15830.0000,200.0000,56.0000
15,HI,96748,0,1830.0000,106059.0000,400.0000,1086.0000,330.0000,651.0000,3670.0000,50.0000,13.0000
15,HI,96749,0,7040.0000,386539.0000,1460.0000,3615.0000,1050.0000,2018.0000,13590.0000,180.0000,54.0000
15,HI,96750,0,2780.0000,181865.0000,480.0000,1208.0000,380.0000,740.0000,5160.0000,60.0000,18.0000
15,HI,96753,0,13480.0000,1298821.0000,1540.0000,2957.0000,940.0000,1779.0000,22280.0000,300.0000,85.0000
15,HI,96754,0,2050.0000,205263.0000,290.0000,523.0000,180.0000,300.0000,3540.0000,30.0000,10.0000
15,HI,96756,0,2810.0000,314205.0000,370.0000,811.0000,280.0000,492.0000,5030.0000,50.0000,12.0000
15,HI,96760,0,1450.0000,75524.0000,340.0000,790.0000,210.0000,384.0000,2810.0000,50.0000,16.0000
15,HI,96761,0,10610.0000,994171.0000,1160.0000,2216.0000,840.0000,1584.0000,18170.0000,130.0000,39.0000
15,HI,96762,0,2500.0000,130476.0000,600.0000,923.0000,290.0000,715.0000,4750.0000,70.0000,21.0000
15,HI,96766,0,9220.0000,694717.0000,1180.0000,2470.0000,820.0000,1532.0000,16210.0000,150.0000,46.0000
15,HI,96768,0,8570.0000,686672.0000,1090.0000,2122.0000,730.0000,1398.0000,15040.0000,250.0000,73.0000
