house_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,20817.210033893585,2499.950005054474,2596476.4110204265,4478.860004425049,15739083.996486664,6140084.960460663,1041499.2032113648
2,18320.13001179695,2095.259994029999,2689256.037310119,3611.949989914894,12483539.966726303,3459366.7017322313,1084102.5454927122
3,20303.559972524643,2646.3700065612793,4990160.639456744,4754.310008525848,16957600.032806396,7807975.3106293315,2004426.0829179748
5,21282.770001888275,2484.369986653328,3978036.201134427,5279.369996190071,16846885.026049614,4650120.009183884,1607283.6392847183
6,20338.929998874664,2224.639994263649,3934183.6598428274,5269.630007743835,21640131.043720245,8902280.248168945,1582316.0118830062
7,18835.19001019001,2361.7900027036667,4268875.75474032,4980.639997839928,20039799.99279976,7784650.90608387,1723223.8412554404
9,22793.110024333,2807.1099866628647,3411391.6686225235,4916.909983634949,19196049.96547699,8146950.747971403,1377994.511525206
11,21794.350027799606,2826.430008172989,5671854.386940546,5674.500023722649,19764820.05095482,7400966.315701676,2281597.451946629
12,23763.99001634121,2007.8500164747238,2559893.979122977,5197.1700130701065,19266785.043621063,8124348.337423325,1030037.0841029887
13,23383.110013246536,2481.7599943876266,4166463.669547434,5656.510007858276,18824874.029159546,5082299.319992067,1673452.047575966
14,23753.609974622726,2074.6999938488007,3318259.397535437,5695.659976363182,19627064.944934845,6178679.06173328,1340913.6953590345
16,21678.98998773098,2758.4800012111664,3990187.604099381,4905.670001268387,16794939.99671936,6578399.981975555,1609384.1132886927
18,12719.900015115738,1108.1300024986267,1205401.5141749096,2600.0499954223633,9133739.980697632,3371759.98878479,486064.06062675477
19,24925.630035996437,1974.8300004005432,2179305.9241319015,6461.0400013923645,23355059.990882874,9386984.97748375,882975.5093371535
20,51830.360047221184,5383.610018610954,7834885.374619385,13341.310011982918,48969198.02594185,17630943.48709356,3154504.7899111556
21,10869.0600335598,1053.2900054454803,2797796.5279713417,3295.590004682541,11704442.51421094,4505639.986932278,1126145.1430090056
22,20925.880034923553,1716.6100091934204,2237978.673903265,5004.529998064041,19297656.511211395,6832409.98506546,904024.8540553828
23,14197.990024805069,1556.940001487732,2453403.093715186,3136.3099870681763,10949664.971971512,4213199.990272522,982203.4922872791
24,38877.56003463268,4896.920005559921,8100858.030245145,7819.939991354942,27245823.967838287,10071569.984436035,3255905.146746564
25,50328.670024871826,4490.029999017715,8270762.189986146,13311.339990019798,51028632.44342804,19468379.995965958,3323954.31093104
26,11510.700012922287,1206.650002002716,1550731.9144861556,2582.8000025749207,9373579.997062683,3284384.991645813,622773.0759929486
27,23701.1600304842,2313.9300023317337,2983909.9493691884,5307.640003919601,17494336.517477036,4858529.999613762,1205968.4227356173
28,21975.46001827717,2513.71999168396,3328352.5162871983,4538.759989500046,17654839.985752106,6592219.573283368,1341246.4760343153
30,39190.54004132748,4498.550011873245,5960025.103490848,8328.349981307983,30125665.93351364,10403191.380480919,2401034.494210902
31,19466.36001944542,2397.880010008812,4362874.7113134125,4501.370003938675,18645065.534353256,7539087.842624048,1751369.3114687814
32,35475.21005308628,3335.4299993515015,4730766.256059334,9354.479990005493,34897635.91747284,14452403.931427002,1908585.6909293549
35,19789.350022792816,2261.7300062179565,3195258.851816163,4067.1000125408173,14039440.020275116,5079059.99994278,1290707.1437736996
36,9355.479998469353,923.4000029563904,1250307.5327502824,1732.5299897193909,4817101.981544495,1516019.9947357178,503205.00594783784
39,13198.71999657154,920.3299975395203,1156633.5912090875,2354.5799884796143,7849219.951629639,1680539.9894714355,465891.03668549156
41,9481.77001607418,870.5300002098083,932650.3551221418,2133.240001678467,6445412.009048462,1461120.002746582,376070.67212988285
43,13107.219998717308,1371.7799960374832,1483377.051739868,1807.37000644207,5937750.023317337,1987980.013847351,597339.3694869819
46,63803.71004152298,5207.970003128052,6016704.072973088,12325.419971227646,39178414.93577957,12280123.710051045,2429629.113261649
48,12972.270012497902,1342.8599992990494,1397929.280144353,3312.2699885368347,12330785.947418213,5544316.201416345,564295.2944648208
50,24128.360001564026,2807.0599961280823,4729949.64173767,6313.559996724129,23403982.460069656,10582312.470269203,1898174.2774906645
51,11255.980005145073,641.8099977970123,609520.872510972,2106.1200003623962,9021250.004005432,4062419.9981689453,247987.85682142066
