senate_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,40661.75000023842,4347.559985399246,6443244.81794734,10339.069982886314,38074539.952516556,15576651.63351114,2604957.258997081
3,40223.640013337135,5520.5999900102615,7272081.840792619,9150.539997816086,31662095.03555298,10241655.580828153,2927217.2639734033
4,39012.400015592575,4444.220013856888,8741662.044764906,8885.150023937225,33970405.07051945,12926170.921919633,3510676.801074732
6,44498.60996949673,4603.099999785423,7097783.915290163,9695.58999824524,31877679.97932434,10655513.82825958,2855789.6174876103
7,46085.93003690243,5051.800000905991,8301135.287259027,9956.350004196167,37439219.00072098,13061789.983034134,3346703.543440695
8,46582.620037674904,5301.430000066757,7719131.503319111,12394.480003476143,44157635.050821304,17794339.953503594,3110885.7428702116
9,24593.66008090973,3726.7100160121918,5414829.947105403,4681.460001587868,18834705.01885414,6581609.993219376,2173242.9806159036
10,52320.230052948,4524.149996161461,5365791.666396391,12146.579976081848,41042569.93045807,14094631.179300638,2170473.8416650365
11,69378.77011942863,7227.160029530525,11317396.90616008,17945.54000043869,69371934.00373459,27761952.495361917,4551600.591078963
13,45075.11004173756,5715.970008254051,7840960.702758567,9367.319990634918,32214219.49081421,11438639.540839367,3150674.4811372217
14,19366.160016298294,1714.8799999952316,2349117.888142866,3890.4899954795837,11816500.983858109,4186572.995480198,950607.8916431231
15,58377.32000660896,5406.10000038147,7542957.749154523,13096.06998372078,48229075.48265457,18251534.945321236,3040962.8805083917
16,51979.56001496315,5981.839989900589,11281552.51217454,14429.709963560104,53961238.31050992,21832043.884706497,4532453.247388996
19,48841.750010967255,5126.329999446869,6334595.796158803,8843.179992198944,28284459.96541977,8097840.0049209595,2553176.365162929
21,28253.470007419586,2259.1600035429,3380594.3638309394,4396.269983530045,13364859.945058823,3038579.995393753,1370015.8178638704
23,75372.46008706093,6592.090004444122,9134258.42448879,17549.940005540848,63225526.48644447,22781399.96087551,3673151.354877351
24,43047.630026102066,2940.4000103473663,3288659.9166218257,10921.250011205673,39260888.51690292,15508919.985115528,1333941.5108336115
25,36481.22005558014,3579.2000007629395,5518667.156764314,8467.890002965927,33292721.490192413,13230873.515223686,2219753.5855633058
