house_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,20298.29005253315,2974.450010061264,3573465.8813256407,4138.190014004707,15522532.538175583,10603232.262395658,1429386.3525302564
2,19282.16998708248,3060.289979338646,5682424.737894507,4193.780005574226,14857119.997262955,9459379.860693373,2272969.8951578033
3,18820.100011706352,3159.9700088500977,6568376.986753237,5285.90000140667,20305319.967508316,13572699.468356252,2627350.794701295
5,20336.619986653328,2762.7299902439117,3494772.342988679,5229.10998749733,16444957.448780537,9802325.191147929,1397908.937195472
6,18878.37003135681,2652.5000060796738,4499415.219827071,4254.2700111866,17408535.026550293,11544569.165899605,1799766.0879308286
7,17497.05999839306,2689.720005750656,2929696.9989250135,4134.85999083519,20177879.921531677,9767617.000056379,1171878.7995700054
9,22991.029995441437,3716.600005030632,4719547.609422856,5408.389996290207,19795139.97077942,13441894.905156726,1887819.0437691421
11,20925.620030999184,3187.859995365143,5201098.894491233,4723.429998159409,16489959.999084473,10857917.512480471,2080439.5577964932
12,22511.140043854713,2767.1900160312653,2793756.12384842,4277.920030474663,16504860.150718689,11172644.05471234,1117502.4495393683
13,22189.04002046585,3008.2100093364716,4312324.907031093,5463.590007781982,17016246.01802826,11451238.107690282,1724929.9628124372
14,22795.1300085783,3140.489986896515,3628705.0106166853,5020.880005836487,16149522.49469757,10490470.821585959,1451482.004246674
16,23210.15001797676,3584.010002851486,4801060.4036920285,5140.410001277924,17138179.98943329,11786833.340566615,1920424.1614768116
18,12658.030017614365,1408.4499988555908,2236546.973028388,2390.080005645752,8889820.039749146,5724709.499554241,894618.7892113551
19,23130.14003765583,3051.75000667572,3927861.7044542907,6089.260009050369,23574284.089374542,16456001.330878308,1571144.6817817164
20,52487.43000173569,6497.119998693466,9402955.640932698,13761.87997663021,53915499.910116196,34948919.96184594,3761182.2563730795
21,11425.00000488758,1633.459995508194,2775803.3170683454,3425.4600001573563,11702237.48280406,8210112.913373414,1110321.3268273382
22,22280.409980893135,2665.5599880218506,3219144.157861879,5414.359984636307,20642019.960403442,12462275.464766338,1287657.6631447515
23,13076.410007476807,1681.109998703003,2578282.051836395,2695.420000076294,9438360.000610352,5864049.825631147,1031312.820734558
24,37571.5400005579,4646.140004634857,5772511.110286977,7065.3600133657455,22340355.067014694,14331699.350884061,2309004.444114791
25,50516.37001657486,5930.2499985694885,8997915.007397538,13049.75999224186,48763159.963560104,31833505.512459747,3599166.002959015
26,12792.860005140305,1581.8899972438812,1746647.8856138182,3007.1099977493286,10848799.98512268,7662024.887380706,698659.1542455272
27,22326.26999247074,2611.14000082016,2610787.154120265,4727.099984884262,14611199.94878769,9315387.262306273,1044314.8616481062
28,23550.970046162605,3645.510025858879,4413430.938939376,4869.420010328293,17422408.02974701,11383409.70232116,1765372.3755757504
30,40714.51998317242,5371.350008130074,6250585.76558568,8681.479995965958,31901637.97068596,21374565.427376874,2500234.3062342717
31,17974.600004673004,2877.3400007486343,4112728.6297749067,4217.20000743866,16846222.52817154,10337590.891769558,1645091.4519099628
32,35461.039997935295,4224.579994440079,4511620.663546967,9303.099995851517,34228400.01296997,23216048.49538932,1804648.2654187873
35,19819.579993844032,2990.0700076818466,3019262.233838589,4605.4299929142,15515883.954524994,9589844.465145946,1207704.8935354357
36,9884.520003557205,953.3499965667725,1245312.8893213368,1803.7700023651123,5471210.003662109,3897818.928435239,498125.15572853474
39,12961.29000556469,1093.1799969673157,1235962.112924471,2200.139998435974,7529660.03074646,5332990.022087097,494384.8451697884
41,9614.560010910034,929.7999932765961,589760.594669237,1825.5000009536743,5886780.011081696,4030974.0870450316,235904.23786769487
43,14316.920001149178,1918.349997639656,2352034.7976446045,2288.519995570183,7042399.980211258,4730266.681505565,940813.9190578419
46,61390.18003797531,6939.919988512993,6899238.081945034,12621.500010490417,40770537.50619888,26760747.957310732,2759695.2327780137
48,14913.260025858879,2164.419999718666,2803090.656278963,3949.109998703003,15011774.998283386,9832306.504339807,1121236.2625115854
50,24329.040034651756,2839.6599999666214,3294188.4125956213,5900.94000685215,22027133.013486862,15909335.920927593,1317675.3650382487
51,9673.860013961792,802.3699998855591,386160.66620852466,1829.6100001335144,6885200.000953674,4917862.050493051,154464.26648340988
