senate_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,39056.89001703262,5798.859998822212,8091370.306118784,9840.70001411438,34854260.001039505,22964575.85476419,3236548.1224475135
3,37634.38000023365,5632.430001974106,7723765.625446903,8707.730017066002,32326907.552814484,20080313.680678733,3089506.2501787613
4,38421.34005045891,5868.369999527931,10933016.236148464,8687.67997932434,37535177.34595537,21704933.413106266,4373206.494459385
6,45624.290079951286,5901.32003223896,7686121.838114815,10466.80003786087,34216940.085315704,23290303.078046534,3074448.7352459263
7,43091.71002161503,7156.070009946823,8976284.159982622,9582.159991502762,34549353.49531174,22703268.150574245,3590513.6639930485
8,45906.11001574993,6346.969973325729,8794086.95100488,9985.660010457039,34327615.04211426,23207427.513571613,3517634.7804019516
9,22535.029987335205,3354.740004301071,4689244.789581953,3949.220011472702,14796857.564926147,9481682.922593348,1875697.9158327812
10,51893.4700357914,6448.410004973412,7723103.935948578,12842.930012702942,43951530.049324036,29208663.48329691,3089241.574379431
11,74001.85003232956,9429.169982075691,13002183.74647387,19575.15995836258,74992417.8779602,47344820.73616454,5200873.498589547
13,46117.58003389835,6646.17000412941,7878070.155601894,9264.399999141693,31094875.47264099,19693545.20423962,3151228.0622407575
14,19366.75001502037,1960.2599984407425,1620273.459839616,3685.670002937317,11117120.013999939,8093899.914420214,648109.3839358464
15,58047.440017580986,7701.3999963998795,9120696.697368763,12992.389980793,48086007.42878914,31624349.236676894,3648278.678947505
16,53055.740021944046,7676.600007534027,10781449.621741233,14236.180001497269,54596052.57579684,38370048.22557247,4312579.848696494
19,47467.620029211044,5834.330006480217,6720338.783573027,8683.550015449524,27992862.052059174,18467186.31109135,2688135.5134292105
21,27817.08001410961,3121.7799953222275,3747422.3239268768,4454.3300141096115,12709060.034608841,8021272.151844428,1498968.9295707508
23,72279.6400398016,7534.270008087158,8966014.805194005,16299.810003519058,56856335.048007965,37043802.05891317,3586405.9220776027
24,43801.91001856327,4293.089990019798,3297582.8331076326,11045.440003275871,39890425.965452194,27052705.10542188,1319033.133243053
25,36484.68997883797,4456.54999935627,6835450.293516461,8692.429977178574,35181440.40470123,23720471.792992346,2734180.1174065843
