house_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,20817.210033893585,2426.3700079917908,3432553.3112026043,4478.860004425049,15723697.996807098,4277758.309850031,1413746.4113657102
2,18320.13001179695,2186.589987754822,3698945.3797041066,3611.949989914894,12480939.966726303,3308398.6889701616,1502597.3120563375
3,20303.559972524643,2477.2400074005127,6132068.132292783,4754.310008525848,16957600.032806396,5019087.31052252,2502191.322573405
5,21282.770001888275,2491.589988589287,5346394.361060432,5279.369996190071,16845835.026097298,3619368.004798889,2177088.4128710097
6,20338.929998874664,2320.7199939489365,5218938.167628526,5269.630007743835,21617589.04361725,6874472.257522583,2108136.460957277
7,18835.19001019001,2706.5000063180923,5715695.960592517,4980.639997839928,20039799.99279976,5454331.905282898,2316538.8262050035
9,22793.110024333,2810.3599890470505,4851895.431740204,4916.909983634949,19209699.96547699,7202760.75005995,1978560.8471781183
11,21794.350027799606,2878.04001057148,7375175.991463297,5683.500023722649,19769570.05057335,4079136.2770111086,3003671.069486697
12,23763.99001634121,1929.8600124120712,3407473.6148275603,5203.1700130701065,19301000.044345856,4191692.3364276886,1396862.0890110293
13,23383.110013246536,2681.5199934244156,5532787.002740458,5656.510007858276,18927240.026474,3952818.838121339,2238063.919865434
14,23753.609974622726,2232.989989757538,4419357.735856231,5735.559977889061,19703469.94638443,4600186.092577969,1807594.419020126
16,21678.98998773098,2945.3599972724915,6285742.248624642,4940.320002794266,16798247.497558594,4988207.997989655,2567497.1087058224
18,12719.900015115738,1021.4300017356873,1781958.8766074134,2600.0499954223633,9126739.980697632,4621551.989364624,729312.0268790913
19,24925.630035996437,1889.729998588562,2907414.665851414,6414.0400013923645,23330459.990882874,11582422.982263565,1206015.1779664317
20,51830.360047221184,5120.460018157959,10212149.48141644,13326.310011982918,48827874.025678635,24664286.491415612,4166090.946429532
21,10869.0600335598,947.8900055885315,3624306.7915183664,3295.590004682541,11704102.514201403,6810453.6287875455,1477924.649190213
22,20925.880034923553,1768.140009880066,3046537.4143685577,5004.529998064041,19255064.51072693,9843143.982124329,1243857.245823922
23,14197.990024805069,1420.8400015830994,2964179.345179515,3136.3099870681763,10943784.972047806,5748039.978599548,1207698.3484365789
24,38877.56003463268,4997.70000576973,10797146.01171013,7819.939991354942,27210375.968265533,13079428.364732673,4374255.043995697
25,50328.670024871826,4536.35000038147,10850868.051592737,13286.89998948574,50942604.44185734,25683437.00244709,4403194.595530142
26,11510.700012922287,1308.4700016975403,2497853.93096684,2582.8000025749207,9373579.997062683,4426374.990272522,1014359.8110202121
27,23701.1600304842,2458.160004258156,4152737.161215027,5307.640003919601,17471590.017318726,7388982.003712654,1698087.9701702166
28,21975.46001827717,2405.769994735718,4227369.824055286,4538.759989500046,17589004.986429214,8121993.565344983,1723339.7831640774
30,39190.54004132748,4383.250010609627,7857303.076305345,8328.349981307983,30070921.93403244,13898565.389136467,3236348.7442845027
31,19466.36001944542,2402.7300127744675,6214578.890705137,4501.370003938675,18613511.035490036,9173104.349295951,2517951.8105571824
32,35475.21005308628,3469.9499921798706,6452108.942860019,9354.479990005493,34856607.91759491,17308098.960208435,2634752.436615245
35,19789.350022792816,2396.1200091838837,4249147.0594492145,4067.1000125408173,14032860.020542145,6375204.003047943,1727380.7988015348
36,9355.479998469353,925.9999990463257,1685012.3792089082,1632.2899918556213,4797839.981651306,1730532.0049285889,688199.7366107788
39,13198.71999657154,1006.4299974441528,1595092.6287647393,2354.5799884796143,7843819.951629639,3827957.970428467,649334.3862673474
41,9481.77001607418,788.0800004005432,1224539.0259886407,2122.240001678467,6415020.008468628,1988456.0070037842,499062.63128678896
43,13107.219998717308,1181.1799975633621,1832840.219178387,1807.37000644207,5910830.023622513,2582572.015953064,758594.7393016401
46,63803.71004152298,4856.1399936676025,7925017.197955511,12310.419971227646,38915891.93444252,16722211.704721913,3273999.963223718
48,12972.270012497902,1160.1299978494644,2116567.923173908,3312.2699885368347,12307943.948173523,6530438.206688257,874954.346006128
50,24128.360001564026,2831.129993081093,5897983.988390692,6313.559996724129,23245449.959993362,13768597.961521149,2384930.2162652384
51,11255.980005145073,654.4799988269806,832756.6146794105,2106.1200003623962,8985550.004005432,5756842.000389099,351160.3301095858
