senate_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,40661.75000023842,4247.479987621307,8395291.594238535,10339.069982886314,38058339.952516556,10508969.696865631,3428366.296815758
3,40223.640013337135,5466.479984402657,9739014.75575874,9150.539997816086,31640017.035770416,8476695.578453504,3973402.2648723647
4,39012.400015592575,4895.050019979477,11410288.962483695,8885.150023937225,33967105.07056713,9567751.201627947,4618530.1843406195
6,44498.60996949673,4577.110002040863,9853478.486352447,9701.58999824524,31871629.97894287,6224469.372246777,4023561.847577511
7,46085.93003690243,5346.529990673065,11021366.735711187,9965.350004196167,37577394.99864578,11425122.989463806,4510470.634724128
8,46582.620037674904,5554.489999771118,10997586.803188756,12469.0300065279,44260202.55322456,11365209.930477126,4458216.970965588
9,24593.66008090973,3420.360012769699,6990404.492597983,4681.460001587868,18823995.01862526,8735381.98466301,2856668.6888418132
10,52320.230052948,4576.189992308617,7570240.0376158245,12146.579976081848,40973539.93148804,19098419.196668953,3102689.2144935913
11,69378.77011942863,7261.760026693344,15247102.125044487,17930.54000043869,69339812.00380325,34621446.50469263,6221020.850845054
13,45075.11004173756,5493.5200053453445,10451819.451016761,9356.319990634918,32130069.99015808,14745261.550688915,4242347.712884031
14,19366.160016298294,1538.1799992322922,3023095.574573734,3790.249997615814,11624351.983356476,5622688.992413182,1244867.4383909903
15,58377.32000660896,5404.650002837181,10277181.910746858,13071.629983186722,48105782.98268318,23298982.437300835,4197241.517756166
16,51979.56001496315,6031.179988861084,14839036.540413339,14429.709963560104,53871566.309434175,30311321.503684074,6023007.864819905
19,48841.750010967255,5249.999997615814,8411422.628108945,8828.179992198944,28177664.965438843,10650432.003307343,3437100.4316990147
21,28253.470007419586,2392.0400046110153,4481571.503620471,4396.269983530045,13338299.94521141,5337075.389888237,1840410.7482570196
23,75372.46008706093,6268.50000667572,12148762.753715975,17549.940005540848,63115437.48674393,31896487.950730324,4955570.828166569
24,43047.630026102066,2842.980004429817,4448233.632107602,10874.250011205673,39089874.51694012,20667320.00671625,1835650.0248584955
25,36481.22005558014,3451.2000036239624,7056598.851579661,8467.890002965927,33181032.990932465,16647878.031634513,2884230.4169231574
