house_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,20298.29005253315,3383.7500092983246,4656871.958025727,4138.190014004707,15512672.53832817,11991986.26594428,1862748.7832102908
2,19282.16998708248,3670.6499799489975,7083551.361730102,4193.780005574226,14857119.997262955,10631003.006266685,2833420.544692041
3,18820.100011706352,3403.980010986328,8082095.148776742,5285.90000140667,20305319.967508316,15214901.466899991,3232838.0595106967
5,20336.619986653328,3277.0299937725067,4678629.897952885,5229.10998749733,16444432.448804379,11088251.631241126,1871451.9591811544
6,18878.37003135681,3019.0000051259995,5752828.250753235,4254.2700111866,17384055.026245117,13017370.844260689,2301131.300301294
7,17497.05999839306,2929.3500051498413,4181228.3336430946,4134.85999083519,20157629.921531677,11034076.211625041,1672491.3334572378
9,22991.029995441437,4438.100013136864,7068802.443285236,5431.389996290207,19816989.97077942,15207918.905896775,2827520.977314094
11,20925.620030999184,3549.3099961280823,6395481.8699400965,4723.429998159409,16489959.999084473,12143559.174468853,2558192.7479760386
12,22511.140043854713,3152.1400161981583,3786001.8470462933,4277.920030474663,16515360.150718689,12632105.893417448,1514400.7388185174
13,22189.04002046585,3397.8700046539307,5862958.429862634,5463.590007781982,17044020.018672943,12942818.954519622,2345183.371945054
14,22795.1300085783,3544.4999890327454,5093001.936896743,5020.880005836487,16192207.49540329,11834165.899493475,2037200.774758697
16,23210.15001797676,4287.650006055832,7064784.916434858,5140.410001277924,17256082.490730286,13427226.565207113,2825913.9665739434
18,12658.030017614365,1513.0999994277954,2757342.9197429325,2390.080005645752,8889820.039749146,6472037.946795903,1102937.167897173
19,23130.14003765583,3507.2000069618225,5630375.412028942,6089.260009050369,23546742.089939117,18641157.340457015,2252150.1648115767
20,52487.43000173569,7377.220001220703,12264994.535596177,13753.87997663021,53865245.91078758,39453258.62827866,4905997.814238472
21,11425.00000488758,1723.209995508194,3758000.721019595,3425.4600001573563,11701939.982795715,9270948.863522206,1503200.288407838
22,22280.409980893135,2869.409986257553,4431570.681005363,5414.359984636307,20620095.96095085,14093257.219662674,1772628.2724021454
23,13076.410007476807,2020.8999948501587,3218376.4085335205,2695.420000076294,9438360.000610352,6582169.1385455895,1287350.5634134084
24,37571.5400005579,5380.370003223419,7687719.631563339,7065.3600133657455,22304796.0668087,16125350.288949043,3075087.852625336
25,50516.37001657486,6654.08999145031,11698920.208351437,13049.75999224186,48678720.46198845,35770351.50743292,4679568.083340574
26,12792.860005140305,1750.489997625351,2772572.0926373503,3007.1099977493286,10835199.98512268,8663482.886991607,1109028.8370549402
27,22326.26999247074,3050.68000125885,3729224.6227806564,4727.099984884262,14590839.949131012,10506919.236405902,1491689.8491122627
28,23550.970046162605,4051.3600248098373,5590002.461958708,4869.420010328293,17298636.02962494,12676320.625957705,2236000.9847834837
30,40714.51998317242,6261.099997639656,8886600.091922058,8632.919996500015,31839632.47089386,23998733.929755338,3554640.0367688234
31,17974.600004673004,3150.7899981737137,5870011.95793668,4198.20000743866,16815882.528305054,11597760.394361645,2348004.7831746717
32,35461.039997935295,5006.299989700317,6362314.207170658,9303.099995851517,34215650.01296997,26260828.496743537,2544925.6828682637
35,19819.579993844032,3692.400008559227,4217857.047565889,4605.4299929142,15506671.954631805,10830273.662968285,1687142.8190263556
36,9884.520003557205,1068.799997329712,1649248.4101226234,1803.7700023651123,5429870.004272461,4348283.063764643,659699.3640490494
39,12961.29000556469,1264.9199957847595,1645958.023151822,2186.139998435974,7524760.03074646,6038502.025032043,658383.2092607288
41,9614.560010910034,1070.8499925136566,822625.275130005,1825.5000009536743,5883840.01121521,4555749.7956733685,329050.11005200195
43,14316.920001149178,1999.299996495247,2955564.2090877034,2288.519995570183,7030629.980325699,5323690.972424094,1182225.6836350814
46,61390.18003797531,7755.109989762306,9461125.423483822,12621.500010490417,40605115.00406265,30029983.456740435,3784450.16939353
48,14913.260025858879,2412.9800015687943,3930369.6101173093,3949.109998703003,14998854.998588562,11023836.256119385,1572147.8440469238
50,24329.040034651756,3499.0800000429153,4571525.211455314,5900.94000685215,21883389.013910294,17753507.822128315,1828610.0845821255
51,9673.860013961792,934.8799977302551,661832.2653305483,1797.6100001335144,6858600.000953674,5549392.050512125,264732.90613221936
