senate_district,weighted_filers,filers_receiving_eitc,total_eitc_dollars,filers_receiving_ctc,total_ctc_dollars,refundable_ctc_dollars,hi_eitc_dollars
1,39056.89001703262,6853.589997887611,10475628.333097156,9840.70001411438,34822760.001039505,25895584.975665703,4190251.333238863
3,37634.38000023365,6174.090003252029,10169322.01265489,8707.730017066002,32309067.552661896,22598315.56861913,4067728.805061956
4,38421.34005045891,6656.080003142357,13790254.60512974,8687.67997932434,37529402.34597921,24483688.88195297,5516101.842051896
6,45624.290079951286,6885.330035567284,10857062.551392756,10466.80003786087,34227440.085315704,26343106.85604554,4342825.020557104
7,43091.71002161503,8319.750013113022,12281460.460189952,9582.159991502762,34597167.49534607,25522337.221633412,4912584.184075981
8,45906.11001574993,7164.489976525307,12132508.431883149,10008.660010457039,34490012.544727325,26322351.315324336,4853003.37275326
9,22535.029987335205,3926.7100026607513,6128841.770097496,3930.220011472702,14775845.064926147,10670042.427340738,2451536.708038999
10,51893.4700357914,7238.530006289482,10443783.321620628,12842.930012702942,43926996.04911804,32905663.488637485,4177513.3286482515
11,74001.85003232956,11013.679968476295,17847459.06990979,19575.15995836258,74953895.87779045,53350487.46326474,7138983.627963917
13,46117.58003389835,7175.150002717972,10398176.28617457,9264.399999141693,31066363.472366333,22182558.908778604,4159270.514469828
14,19366.75001502037,2171.4599977731705,2075622.0327707946,3671.670002937317,10900710.012817383,8865790.0492003,830248.8131083178
15,58047.440017580986,8650.589993834496,12564830.153723668,12984.389980793,48017255.92799187,35534992.8350396,5025932.0614894675
16,53055.740021944046,8675.580002307892,15358005.8080885,14236.180001497269,54546175.076532364,43355615.51463376,6143202.3232354
19,47467.620029211044,6521.350002169609,8933957.516067449,8660.990015983582,27865092.052459717,20729791.923607353,3573583.0064269793
21,27817.08001410961,3688.3199959993362,4941256.226624492,4454.3300141096115,12698300.034570694,9039188.151924536,1976502.4906497966
23,72279.6400398016,8440.620011806488,12027277.199398655,16285.810003519058,56800298.048591614,41874545.145838805,4810910.879759463
24,43801.91001856327,5194.389986157417,4823134.95033561,11033.440003275871,39744224.46603775,30429026.67058894,1929253.980134244
25,36484.68997883797,5318.159997701645,9031787.092880802,8660.429977178574,35068136.405181885,26628093.030367576,3612714.8371523204
