symbol,horizon_months,target_month,point,lo90,hi90,monthly_vol,band_multiplier,band_calibrated,cap_hit
SPY,3,2026-09,784.86,679.28,906.87,0.0371,2.248,True,False
SPY,6,2026-12,815.93,665.14,1000.9,0.0371,2.248,True,False
SPY,12,2027-06,861.08,644.98,1149.58,0.0371,2.248,True,False
QQQ,3,2026-09,775.58,649.21,926.54,0.048,2.141,True,True
QQQ,6,2026-12,807.58,627.99,1038.54,0.048,2.141,True,True
QQQ,12,2027-06,854.2,598.52,1219.11,0.048,2.141,True,True
VTI,3,2026-09,389.73,335.81,452.3,0.0383,2.245,True,True
VTI,6,2026-12,405.81,328.75,500.93,0.0383,2.245,True,True
VTI,12,2027-06,429.23,318.68,578.15,0.0383,2.245,True,True
JETS,3,2026-09,34.99,26.81,45.66,0.0827,1.859,True,True
JETS,6,2026-12,36.43,25.0,53.08,0.0827,1.859,True,True
JETS,12,2027-06,38.53,22.63,65.62,0.0827,1.859,True,True
XLRE,3,2026-09,45.47,38.2,54.11,0.0481,2.09,True,False
XLRE,6,2026-12,46.62,36.44,59.63,0.0481,2.09,True,False
XLRE,12,2027-06,48.26,34.07,68.37,0.0481,2.09,True,False
VNQ,3,2026-09,100.6,85.24,118.72,0.0482,1.985,True,False
VNQ,6,2026-12,103.97,82.26,131.42,0.0482,1.985,True,False
VNQ,12,2027-06,108.85,78.15,151.59,0.0482,1.985,True,False
XLF,3,2026-09,56.46,48.78,65.35,0.0408,2.068,True,True
XLF,6,2026-12,58.79,47.81,72.3,0.0408,2.068,True,True
XLF,12,2027-06,62.19,46.42,83.31,0.0408,2.068,True,True
XLE,3,2026-09,50.38,41.6,61.02,0.0556,1.989,True,True
XLE,6,2026-12,48.36,36.88,63.41,0.0556,1.989,True,True
XLE,12,2027-06,45.69,31.15,67.03,0.0556,1.989,True,True
BOH,3,2026-09,85.83,60.45,121.85,0.0977,2.072,True,True
BOH,6,2026-12,89.37,54.44,146.71,0.0977,2.072,True,True
BOH,12,2027-06,94.53,46.89,190.54,0.0977,2.072,True,True
FHB,3,2026-09,30.86,23.78,40.05,0.0707,2.129,True,True
FHB,6,2026-12,32.13,22.22,46.46,0.0707,2.129,True,True
FHB,12,2027-06,33.99,20.18,57.25,0.0707,2.129,True,True
HE,3,2026-09,12.91,4.7,35.46,0.2283,2.555,True,False
HE,6,2026-12,12.45,2.98,51.96,0.2283,2.555,True,False
HE,12,2027-06,11.84,1.57,89.3,0.2283,2.555,True,False
MATX,3,2026-09,202.46,155.34,263.86,0.0848,1.803,True,True
MATX,6,2026-12,210.81,144.94,306.62,0.0848,1.803,True,True
MATX,12,2027-06,222.98,131.27,378.76,0.0848,1.803,True,True
