weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,senate_district,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
69320.71001327038,39056.89001703262,0.23310335337335972,16158.88996231556,124675635.1566571,1,0.2589709475560472,1793.1599950790405,4951383.284361064,0.25478633955129903,1503.079997062683,3267139.696927637,0.23456034941365797,101.0,1548131.871730119,0.27815222828553793,3122.819994211197,12885635.508938253,0.2221600147093689,758.6000061035156,7513030.163118601,0.22494706055629196,565.4000091552734,2074022.2557536066,0.22709360526166605,416.6000061035156,1904410.006815344
65301.610031723976,37634.38000023365,0.25573488895190244,16699.89998984337,113768130.09753223,3,0.27701032140787096,1389.3199934959412,3760647.5726219416,0.28109659106684554,1656.159981250763,2777367.997857809,0.26939519514661286,892.0399880409241,1170425.3313661963,0.32586853479720035,4579.839991092682,11135521.524190754,0.23459972859827433,1380.159999370575,8433640.402807638,0.2472040120002764,557.079999923706,1316021.5176611543,0.25210435059597935,237.07999992370605,2118089.0888218433
69248.71997284889,38421.34005045891,0.29300844713751656,20290.45990550518,122603653.17379299,4,0.32120622468551346,1952.6600012779236,8414089.572604388,0.31554575905930277,1560.6800022125244,5394472.220427722,0.3015596521284476,592.1599998474121,3029373.1866800934,0.34643066252150295,3699.420033454895,20424995.527415276,0.2610350049092474,2214.1199474334717,13634370.183378652,0.2672346862325766,1784.7999515533447,2974149.136666104,0.2897841277111821,223.27999305725098,3672906.1056881994
77545.05012047291,45624.290079951286,0.17673932730070172,13705.25999379158,110981631.47683838,6,0.21054084011215168,2621.1400051116943,4465411.828230664,0.1988330649893419,1713.2599964141846,2509610.2097515613,0.19584125574126973,1481.2599983215332,1333689.0664365888,0.2210965107361254,3439.680012702942,11424440.288785994,0.16913626309786048,589.5799946784973,5575197.713591367,0.17418597283523435,198.0,1520741.0046727657,0.17614663957285956,45.959999561309814,1318155.0062745512
74508.02001345158,43091.71002161503,0.2498025046460506,18612.29001557827,120891015.41365072,7,0.26580990884845,1192.6799926757812,7982013.356921732,0.27334131283104873,1753.8299913406372,5379956.9211084545,0.2540221845387618,314.3999938964844,2948485.5719104856,0.2835184721241286,2512.1099796295166,18463914.94718665,0.2337905370528588,1193.0200018882751,9246008.417934567,0.23751872631570134,915.2400016784668,4035508.879327029,0.2467413576475144,228.0800018310547,2740136.4140862525
76684.67004311085,45906.11001574993,0.213040624232058,16336.949975013733,125309931.40141962,8,0.23815985592085145,1926.2599937915802,5349544.556017533,0.22460747329168912,887.0000035762787,3254821.7999671698,0.22138023114322986,639.5200042724609,1765195.9145439267,0.2605447732639855,3642.8399941921234,15142512.699423596,0.1953468663888022,1356.8399820327759,6129525.356876627,0.19819489313147032,1138.4399909973145,1973392.1201947331,0.20650581115475,501.11998462677,1684643.3793437183
35532.930022239685,22535.029987335205,0.2940489288347913,10448.420011401176,79102927.03713946,9,0.33382414697622975,1413.3300428390503,3540287.9854739606,0.3132460512997107,682.1300091743469,1907118.087927416,0.29980809362254074,204.63999938964844,1233855.1092698574,0.3467363946568993,1872.1400361061096,9164691.777562812,0.2861801715408158,279.60000228881836,4372362.753367171,0.2920226394194536,72.0,1690890.9031669647,0.292135211053639,68.0,1152591.329633221
91897.96005988121,51893.4700357914,0.18929636725180152,17395.94999718666,134885929.29491198,10,0.20004002242466318,987.3199939727783,5420137.899056584,0.19718816373336867,725.2399978637695,2657895.693333864,0.1929634780318494,337.0,1945428.2008524537,0.22431107284318474,3217.7800159454346,12540389.368323326,0.16743211689086387,2009.2800064086914,8108400.8635845035,0.17468668489074943,1342.6000061035156,2454433.8303425014,0.1783668535988238,1004.4000091552734,2102678.291271016
136850.8399734497,74001.85003232956,0.2136930249157188,29244.069956183434,217534231.98348844,11,0.23024126107490125,2264.6400184631348,9066401.030287564,0.22838288740443774,2010.3200206756592,5568515.37292397,0.2210256800671454,1003.480016708374,3121837.5341728926,0.2637576061677056,6851.379997253418,23373449.51826048,0.20128681665641282,1697.8000211715698,19049283.140449524,0.20417170945045546,1303.0000190734863,3786297.6979620457,0.2048951248128983,1204.0000190734863,4444709.511650145
74865.15002334118,46117.58003389835,0.2490905313858763,18648.200001597404,142502642.33642587,13,0.27222920163792347,1732.2800197601318,5150928.370522767,0.264939294027218,1186.5199928283691,3197932.7303093374,0.2585924157791964,711.3600006103516,1595215.6752865314,0.30531108275221513,4208.960012435913,14125523.209988236,0.22146619607882884,2068.10000705719,7543465.863500804,0.24441439036617776,350.07999897003174,1875982.3661499918,0.23279883886013797,1219.6800050735474,1980090.0791222453
