weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,house_district,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
24961.0,12823.0,0.22499098593806338,5616.0,44021854.25063549,1,0.23300348543728217,200.0,78899.45284447074,0.22499098593806338,0.0,0.0,0.22499098593806338,0.0,16796.640360109508,0.23300348543728217,200.0,148320.30815325677,0.2164176114738993,214.0,728364.627167061,0.22499098593806338,0.0,23935.212513163686,0.22499098593806338,0.0,157560.0
28465.0,13119.0,0.13384858598278587,3810.0,22672273.983504448,2,0.16799578429650447,972.0,1570193.4205182455,0.16799578429650447,972.0,670747.480371248,0.16799578429650447,972.0,452141.70018004626,0.16799578429650447,972.0,3279534.8278270476,0.12847356402599683,153.0,1169480.0457301363,0.12847356402599683,153.0,443699.5662418194,0.13384858598278587,0.0,230360.0
39653.0,15761.0,0.35142359972763726,13935.0,37830551.801999636,3,0.35142359972763726,0.0,12657151.647658475,0.35142359972763726,0.0,3219800.0,0.35142359972763726,0.0,5062860.659063391,0.35142359972763726,0.0,20939812.306721874,0.14256172294656141,8282.0,5433889.119102716,0.15567548483090812,7762.0,4438336.453905057,0.2989685521902504,2080.0,2033686.6609769836
27375.0,12748.0,0.2068310502283105,5662.0,28751140.5609371,5,0.2068310502283105,0.0,2242158.109409742,0.2068310502283105,0.0,0.0,0.2068310502283105,0.0,896863.2437639013,0.25190867579908677,1234.0,4062488.0494844764,0.14239269406392693,1764.0,1050475.0255766436,0.14334246575342466,1738.0,868901.5644709878,0.20383561643835615,82.0,366553.1497664526
32364.0,13118.0,0.13660239772586824,4421.0,36082296.703206845,6,0.17312445927573847,1182.0,702641.207730718,0.13660239772586824,0.0,336968.3999999985,0.13660239772586824,0.0,173100.8389064893,0.18622543566926214,1606.0,3120906.470514126,0.13660239772586824,0.0,927104.7035999969,0.13660239772586824,0.0,246668.69544174522,0.13660239772586824,0.0,201240.0
41848.0,18728.0,0.24770598355954884,10366.0,41394150.528986424,7,0.24770598355954884,0.0,3763817.7653749585,0.24770598355954884,0.0,0.0,0.24770598355954884,0.0,1505527.1061499864,0.3658478302427834,4944.0,7767679.905583017,0.24770598355954884,0.0,5340184.239600003,0.24770598355954884,0.0,2145376.126263723,0.24770598355954884,0.0,861640.0
34466.0,13667.0,0.1256890848952591,4332.0,22341591.98345153,9,0.1256890848952591,0.0,1618315.802728735,0.13076655254453665,175.0,990046.0185351819,0.1256890848952591,0.0,647326.3210914955,0.17614460627865142,1739.0,4716992.057710618,0.07912145302617071,1605.0,1063535.8941675574,0.09946033772413393,904.0,909275.9529422149,0.1256890848952591,0.0,476320.0
32004.0,13201.0,0.17407199100112486,5571.0,30552990.18021963,11,0.17407199100112486,0.0,1151340.936130397,0.17407199100112486,0.0,0.0,0.17407199100112486,0.0,460536.3744521588,0.17407199100112486,0.0,1611877.310582552,0.11582927134108237,1864.0,3161031.51692627,0.15707411573553307,544.0,443364.7519955598,0.17407199100112486,0.0,682759.9999999963
34628.0,14428.0,0.13347579993069192,4622.0,18894003.912330955,12,0.13347579993069192,0.0,829110.1388299689,0.13347579993069192,0.0,454558.5,0.13347579993069192,0.0,331644.05553198606,0.13347579993069192,0.0,1615312.694361955,0.12527434446112973,284.0,2318977.63247104,0.13347579993069192,0.0,472592.77913308516,0.13347579993069192,0.0,455000.0
42253.0,16001.0,0.07476392208837242,3159.0,23085219.07430046,13,0.11144770785506354,1550.0,671552.1145540476,0.07476392208837242,0.0,0.0,0.07476392208837242,0.0,175894.5816348344,0.11298606016140866,1615.0,1445658.514598623,0.07476392208837242,0.0,1353577.1760000028,0.07476392208837242,0.0,250649.77882964164,0.07476392208837242,0.0,218400.0
31635.0,11994.0,0.039702860755492335,1256.0,8106363.44535524,14,0.04842737474316422,276.0,319343.58544158563,0.054686265212581,474.0,120318.40417206474,0.04842737474316422,276.0,125275.27887378633,0.06341077920025288,750.0,569040.8606588505,0.03382329698119172,186.0,1092482.092221899,0.039702860755492335,0.0,142851.53090976365,0.039702860755492335,0.0,188760.0
35014.0,14519.0,0.17481578797052608,6121.0,44965838.31223655,16,0.17724338835894213,85.0,1966048.912254028,0.17481578797052608,0.0,34000.0,0.17724338835894213,85.0,783349.2346312702,0.17724338835894213,85.0,2788515.364002526,0.17367338778774205,40.0,6313760.918960981,0.17367338778774205,40.0,1106825.5320696086,0.17367338778774205,40.0,1027078.6421609819
25662.0,8968.0,0.08050814433793158,2066.0,8289801.922188085,18,0.08553503234354298,129.0,623600.5804417673,0.08050814433793158,0.0,0.0,0.08553503234354298,129.0,249392.66447048448,0.08553503234354298,129.0,873072.5244226214,0.052295222507988466,724.0,1379053.8051932082,0.08050814433793158,0.0,315839.05113683455,0.08050814433793158,0.0,234000.0
43530.0,17156.0,0.046060188375832756,2005.0,8874376.551581208,19,0.046060188375832756,0.0,457506.9722036086,0.046060188375832756,0.0,0.0,0.046060188375832756,0.0,183002.78888144344,0.05111417413278199,220.0,759079.9573253505,0.03034688720422697,684.0,1012515.9726057779,0.046060188375832756,0.0,260778.9741560556,0.046060188375832756,0.0,177840.0
89070.0,34673.0,0.14874817559223083,13249.0,59503180.206825264,20,0.1655888626922645,1500.0,4107432.5289418697,0.14874817559223083,0.0,1494290.5,0.15642752890984618,684.0,1570879.257472299,0.1655888626922645,1500.0,7309770.896887213,0.12420568092511508,2186.0,8089938.477560416,0.13797013584820927,960.0,1819395.8682364896,0.14268552823621872,540.0,1702064.0920368657
