weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,senate_district,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
65056.0,26021.0,0.2351819970486965,15300.0,52581612.496835195,1,0.23991637973438268,308.0,9850062.223943613,0.23991637973438268,308.0,3337196.138986863,0.23991637973438268,308.0,3853382.5729695708,0.24720241023118544,782.0,17908517.071337633,0.11205730447614363,8010.0,4096525.3397038504,0.11586940482046237,7762.0,2603016.4541558176,0.20320954254795867,2080.0,1789806.6609769762
61807.0,27692.0,0.21130292685294547,13060.0,72289956.3374775,3,0.24440597343342987,2046.0,6668414.590418071,0.22204604656430502,664.0,890319.741384387,0.22204604656430502,664.0,2455353.699784398,0.30506253337000666,5795.0,13016985.321681917,0.18318313459640495,1738.0,4638292.72839126,0.18318313459640495,1738.0,3013651.620625794,0.20997621628618118,82.0,1017593.1497664452
67803.0,32584.0,0.22786602362727312,15450.0,85880698.99495724,4,0.22786602362727312,0.0,4496384.789174914,0.22786602362727312,0.0,0.0,0.22786602362727312,0.0,1798553.9156699628,0.26295296668289014,2379.0,8393239.475264251,0.2180581980148371,665.0,5914679.692681462,0.22560948630591568,153.0,2550249.5440548956,0.22786602362727312,0.0,1043640.0
68226.0,26474.0,0.125230850408935,8544.0,42708595.08444311,6,0.14794946208190426,1550.0,4163266.9721968845,0.125230850408935,0.0,454558.5,0.125230850408935,0.0,1572580.5246919692,0.14890217805528685,1615.0,6788617.815298595,0.10539970099375605,1353.0,7730024.079134598,0.11725735057016387,544.0,2028027.6660872772,0.125230850408935,0.0,1504880.0
62206.0,25630.0,0.11850946854001222,7372.0,50319660.839577004,7,0.12294633958139087,276.0,250263.6572126299,0.12894254573513808,649.0,125603.32270725071,0.12294633958139087,276.0,97643.30758219957,0.15852168601099573,2489.0,1938917.7950287014,0.09864000257209915,1236.0,2668971.2925584316,0.11850946854001222,0.0,103475.97181926668,0.11850946854001222,0.0,478920.0
79568.0,31706.0,0.11493313895033179,9145.0,54917750.98387426,8,0.11600140760104564,85.0,2142180.860529244,0.11493313895033179,0.0,1018761.099999994,0.11600140760104564,85.0,853802.013941355,0.11600140760104564,85.0,4019861.1915878356,0.09746380454454052,1390.0,4904369.859054729,0.10306907299416851,944.0,1194056.6879733354,0.11443042429117233,40.0,1064518.6421609968
46859.0,17620.0,0.19631234127915662,9199.0,35443933.409850076,9,0.22089673275144583,1152.0,2623460.3891115934,0.2780895879126742,3832.0,905019.2675617486,0.19631234127915662,0.0,997305.8995380551,0.32006658272690414,5799.0,10673614.795495488,0.17258157451076633,1112.0,5321958.350581706,0.19631234127915662,0.0,1421160.9068417326,0.19631234127915662,0.0,985400.0
95182.0,37727.0,0.09166649156353092,8725.0,50916523.8857406,10,0.09166649156353092,0.0,1506513.20613835,0.0956063121178374,375.0,65573.52222871035,0.09166649156353092,0.0,602605.2824553475,0.10008194826752957,801.0,2469762.938310139,0.07915362148305352,1191.0,3329099.561765872,0.09031119329284949,129.0,800349.8584736809,0.09031119329284949,129.0,564863.2581982687
111701.0,42767.0,0.08084976857861613,9031.0,51916307.493652135,11,0.08622125137644247,600.0,2643971.4274526983,0.0956571561579574,1654.0,723589.1410593987,0.0832848407802974,272.0,986101.9945720732,0.09995434239621848,2134.0,4940091.813171446,0.06768068325261188,1471.0,4555257.270252027,0.0762571507864746,513.0,933851.0870652348,0.0762571507864746,513.0,960148.6656993926
72122.0,27809.0,0.11308615956296275,8156.0,35176318.352909595,13,0.1159147000915116,204.0,780723.1009336561,0.11308615956296275,0.0,132600.0,0.11308615956296275,0.0,291005.4877317548,0.12555114944122459,899.0,1473885.6855166554,0.10692992429494468,444.0,1717515.2323813103,0.11308615956296275,0.0,414682.8200177476,0.11308615956296275,0.0,346320.0
37099.0,13859.0,0.20903528396991833,7755.0,34612847.505506985,14,0.20903528396991833,0.0,395302.5692846179,0.20903528396991833,0.0,0.0,0.20903528396991833,0.0,158121.02771385014,0.23534327070810535,976.0,1164436.8162234575,0.08717216097468934,4521.0,4789958.966770742,0.2036173481765007,201.0,180881.19079843163,0.20903528396991833,0.0,826800.0
106157.0,38775.0,0.1342163022692804,14248.0,77746556.53238325,15,0.14086682931883907,706.0,2210761.286561236,0.1342163022692804,0.0,491290.5,0.1342163022692804,0.0,826595.5819882303,0.15714460657328297,2434.0,5113670.670948997,0.12954397731661596,496.0,10070329.033714727,0.1342163022692804,0.0,1177898.7043332458,0.1342163022692804,0.0,1771120.0
95354.0,34207.0,0.07127126287308345,6796.0,29061564.908955123,16,0.08254504268305472,1075.0,3201681.871622443,0.07892694590683139,730.0,665340.2809876986,0.07892694590683139,730.0,1134532.4422481619,0.09218281351595109,1994.0,6771441.795579206,0.04869224154204333,2153.0,3398772.7663101256,0.052929085303186026,1749.0,1090816.149391465,0.07127126287308345,0.0,1073280.0
73399.0,35582.0,0.12021962152072917,8824.0,58612623.44650257,19,0.12283546097358275,192.0,4531184.237295121,0.12021962152072917,0.0,0.0,0.12021962152072917,0.0,1812343.4170407504,0.12283546097358275,192.0,6598924.021354333,0.09380236787967139,1939.0,5232228.424671516,0.10722216923936294,954.0,2487062.6870022416,0.12021962152072917,0.0,975000.0
39876.0,22326.0,0.10309459323904102,4111.0,25428326.105400424,21,0.10309459323904102,0.0,1588732.3664208017,0.10309459323904102,0.0,1114344.2699999996,0.10309459323904102,0.0,635492.9465683214,0.10309459323904102,0.0,3338569.5829891227,0.08112649212558933,876.0,300516.9440333657,0.08112649212558933,876.0,174128.24642051384,0.08112649212558933,876.0,111320.7480333671
126900.0,56253.0,0.10077226162332545,12788.0,66223466.60355969,23,0.12267139479905437,2779.0,4611541.893540397,0.10546099290780142,595.0,487474.37435525656,0.10476753349093774,507.0,1396869.7586661726,0.12988179669030733,3694.0,10315599.098379016,0.07493301812450749,3279.0,2726366.233366877,0.0922695035460993,1079.0,1752476.2191921622,0.09530338849487785,694.0,760058.5891291499
73862.0,26917.0,0.08365600714846606,6179.0,30748382.335525256,24,0.08788010072838537,312.0,1240781.7433975078,0.08365600714846606,0.0,68000.0,0.08365600714846606,0.0,450769.44292062894,0.08788010072838537,312.0,2385943.1208375283,0.08284368146002004,60.0,5682697.047611531,0.08365600714846606,0.0,642346.4561618902,0.08365600714846606,0.0,928200.0
78286.0,25226.0,0.10189561351965869,7977.0,39467836.838166416,25,0.11183353345425746,778.0,1858893.3709845394,0.10189561351965869,0.0,1105511.1774999946,0.11063280790946019,684.0,700378.5488060117,0.11183353345425746,778.0,3736903.7458125204,0.08596683953708198,1247.0,4760511.560063124,0.0970671639884526,378.0,764063.5909920037,0.0970671639884526,378.0,1067047.5030996203
