tax_year,scenario,population,metric,value
2024,baseline,all,weighted_persons,1395352.0204154253
2024,baseline,all,weighted_filers,802603.5204094648
2024,baseline,all,poverty_rate,0.2462216307322075
2024,baseline,all,persons_in_poverty,343565.8499121666
2024,baseline,all,poverty_gap_$,2970918869.7650127
2024,no_eitc,all,poverty_rate,0.2686520136178499
2024,no_eitc,all,persons_lifted,31298.280078172684
2024,no_eitc,all,gap_closed_$,126081778.12757587
2024,no_ctc,all,poverty_rate,0.2639150297299802
2024,no_ctc,all,persons_lifted,24688.52003955841
2024,no_ctc,all,gap_closed_$,47516724.72097683
2024,no_hi_eitc,all,poverty_rate,0.2575170743354633
2024,no_hi_eitc,all,persons_lifted,15761.12005329132
2024,no_hi_eitc,all,gap_closed_$,44680350.45257759
2024,no_credits,all,poverty_rate,0.282990488609747
2024,no_credits,all,persons_lifted,51305.50012779236
2024,no_credits,all,gap_closed_$,257582992.64809415
2024,expanded_ctc_2021,all,poverty_rate,0.2242080674354123
2024,expanded_ctc_2021,all,persons_lifted,30716.67002272606
2024,expanded_ctc_2021,all,gap_closed_$,169966386.69235802
2024,hi_eitc_100pct,all,poverty_rate,0.2339773441466785
2024,hi_eitc_100pct,all,persons_lifted,17085.090025663376
2024,hi_eitc_100pct,all,gap_closed_$,50809030.26211643
2024,hi_ctc_650,all,poverty_rate,0.2409188398180111
2024,hi_ctc_650,all,persons_lifted,7399.260015964508
2024,hi_ctc_650,all,gap_closed_$,35069087.428993225
2024,baseline,head_of_household,poverty_rate,0.3685856708142894
2024,baseline,head_of_household,persons_in_poverty,79091.59978175163
2024,baseline,head_of_household,weighted_persons,214581.3200144768
2024,no_eitc,head_of_household,persons_lifted,21828.680075883865
2024,no_eitc,head_of_household,poverty_rate,0.4703125129942666
2024,no_ctc,head_of_household,persons_lifted,15094.52003955841
2024,no_ctc,head_of_household,poverty_rate,0.4389297251734482
2024,no_hi_eitc,head_of_household,persons_lifted,11484.92005252838
2024,no_hi_eitc,head_of_household,poverty_rate,0.4221081305128016
2024,no_credits,head_of_household,persons_lifted,31067.00012612343
2024,no_credits,head_of_household,poverty_rate,0.5133652822176841
2024,expanded_ctc_2021,head_of_household,persons_lifted,17435.12001490593
2024,expanded_ctc_2021,head_of_household,poverty_rate,0.2873338637430603
2024,hi_eitc_100pct,head_of_household,persons_lifted,7187.240020513535
2024,hi_eitc_100pct,head_of_household,poverty_rate,0.3350914224797716
2024,hi_ctc_650,head_of_household,persons_lifted,3491.160011291504
2024,hi_ctc_650,head_of_household,poverty_rate,0.3523160346173643
