tax_year,scenario,population,metric,value
2025,baseline,all,weighted_persons,1395352.0204154253
2025,baseline,all,weighted_filers,802603.5204094648
2025,baseline,all,poverty_rate,0.2501582216178593
2025,baseline,all,persons_in_poverty,349058.7799580097
2025,baseline,all,poverty_gap_$,3103962473.22087
2025,no_eitc,all,poverty_rate,0.2724307948099971
2025,no_eitc,all,persons_lifted,31078.080003499985
2025,no_eitc,all,gap_closed_$,130015589.23680592
2025,no_ctc,all,poverty_rate,0.2674463035075156
2025,no_ctc,all,persons_lifted,24122.959993839264
2025,no_ctc,all,gap_closed_$,50031695.79681587
2025,no_hi_eitc,all,poverty_rate,0.2617373355641912
2025,no_hi_eitc,all,persons_lifted,16156.940039634705
2025,no_hi_eitc,all,gap_closed_$,46679652.78125763
2025,no_credits,all,poverty_rate,0.2855959529922076
2025,no_credits,all,persons_lifted,49448.110072135925
2025,no_credits,all,gap_closed_$,265211143.7096839
2025,expanded_ctc_2021,all,poverty_rate,0.2279627687230567
2025,expanded_ctc_2021,all,persons_lifted,30970.470040798187
2025,expanded_ctc_2021,all,gap_closed_$,173434251.1524644
2025,hi_eitc_100pct,all,poverty_rate,0.2374209339538897
2025,hi_eitc_100pct,all,persons_lifted,17773.000076532364
2025,hi_eitc_100pct,all,gap_closed_$,52890591.328258514
2025,hi_ctc_650,all,poverty_rate,0.2437864817672699
2025,hi_ctc_650,all,persons_lifted,8890.82007408142
2025,hi_ctc_650,all,gap_closed_$,35638702.65724945
2025,baseline,head_of_household,poverty_rate,0.3824810091751071
2025,baseline,head_of_household,persons_in_poverty,82073.27982926369
2025,baseline,head_of_household,weighted_persons,214581.3200144768
2025,no_eitc,head_of_household,persons_lifted,18811.280000448227
2025,no_eitc,head_of_household,poverty_rate,0.4701460491663753
2025,no_ctc,head_of_household,persons_lifted,13868.759993076324
2025,no_ctc,head_of_household,poverty_rate,0.4471127301102783
2025,no_hi_eitc,head_of_household,persons_lifted,11097.640036582949
2025,no_hi_eitc,head_of_household,poverty_rate,0.4341986518656928
2025,no_credits,head_of_household,persons_lifted,28654.96006989479
2025,no_credits,head_of_household,poverty_rate,0.5160199400939848
2025,expanded_ctc_2021,head_of_household,persons_lifted,18534.92003631592
2025,expanded_ctc_2021,head_of_household,poverty_rate,0.2961038723625204
2025,hi_eitc_100pct,head_of_household,persons_lifted,8920.600071191788
2025,hi_eitc_100pct,head_of_household,poverty_rate,0.3409088906393932
2025,hi_ctc_650,head_of_household,persons_lifted,4970.720071315765
2025,hi_ctc_650,head_of_household,poverty_rate,0.3593162711122579
