weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,house_district,poverty_rate_rxkids_hi,persons_lifted_rxkids_hi,gap_closed_rxkids_hi_$
31672.0,12913.0,0.16951881788330386,5369.0,28385320.259931337,1,0.16951881788330386,0.0,423936.0
29905.0,12065.0,0.19324527670958033,5779.0,29906254.945241902,2,0.19324527670958033,0.0,453866.40000000224
29961.0,12356.0,0.21875104302259604,6554.0,31658125.678422064,3,0.2138112880077434,148.0,415388.98012255505
31725.0,13045.0,0.14133963750985026,4484.0,26926425.997355163,5,0.1373364854215918,127.0,303162.17052590847
30614.0,12485.0,0.14849415300189456,4546.0,27650500.843008786,6,0.14849415300189456,0.0,321672.0
31060.0,12015.0,0.1813586606567933,5633.0,28751573.593592122,7,0.17981326464906633,48.0,474893.5613516979
37682.0,13635.0,0.10986677989491003,4140.0,22854894.66719196,9,0.10986677989491003,0.0,273436.799999997
31818.0,13144.0,0.13240932805330316,4213.0,20680398.942563135,11,0.13240932805330316,0.0,340912.80000000075
34002.0,12784.0,0.10008234809717076,3403.0,16710985.686891844,12,0.10008234809717076,0.0,230318.40000000037
34229.0,13586.0,0.11852522714657163,4057.0,25648709.476561986,13,0.11738584241432704,39.0,284814.0491290949
35863.0,13778.0,0.11644313080333492,4176.0,16681468.768910885,14,0.11326436717508295,114.0,275309.50618813746
36727.0,13418.0,0.15416451112260735,5662.0,25957244.821246766,16,0.15416451112260735,0.0,347479.200000003
21331.0,7679.0,0.11649711687215789,2485.0,11344201.45847628,18,0.11527823355679527,26.0,169714.90696403384
41345.0,14540.0,0.10538154553150321,4357.0,15175696.126700297,19,0.10501874470915468,15.0,307930.4188128263
91998.0,31895.0,0.10174134220309138,9360.0,44867665.16129148,20,0.10174134220309138,0.0,647229.6000000015
19197.0,6244.0,0.12158149710892327,2334.0,7467964.724617982,21,0.11783091107985623,72.0,124363.87740403786
38486.0,12149.0,0.09767188068388505,3759.0,16675722.770469856,22,0.0964246739073949,48.0,238627.00486870296
20368.0,7410.0,0.06829340141398271,1391.0,8630597.202852251,23,0.06141987431264729,140.0,118380.00708085671
56993.0,24308.0,0.15868615444001896,9044.0,47117509.90629684,24,0.15407155264681627,263.0,598296.7178333029
86245.0,30183.0,0.08666009623746304,7474.0,36686045.821978614,25,0.0779871296886776,748.0,554767.6496668458
21596.0,7952.0,0.08043156140025931,1737.0,8126001.116157623,26,0.07709761066864235,72.0,114761.03070320934
35733.0,13104.0,0.0877340273696583,3135.0,13733976.94697202,27,0.08258472560378362,184.0,191537.95186900347
34794.0,12995.0,0.13726504569753406,4776.0,20133592.56993919,28,0.13726504569753406,0.0,380584.799999997
66775.0,25316.0,0.12711344065892924,8488.0,41009242.33785974,30,0.12711344065892924,0.0,537108.0
29762.0,10807.0,0.1936025804717425,5762.0,30411333.60099585,31,0.1936025804717425,0.0,425911.19999999925
60340.0,23460.0,0.10522041763341067,6349.0,32877345.09689382,32,0.0963705667882002,534.0,405194.4391734898
30890.0,13481.0,0.17190029135642604,5310.0,29989741.695891682,35,0.17076723858853998,35.0,367303.20667658374
16443.0,6378.0,0.06720184881104421,1105.0,7383256.264648017,36,0.06720184881104421,0.0,91972.80000000075
19064.0,10231.0,0.1428871170793118,2724.0,20057229.378777295,39,0.1428871170793118,0.0,241329.6000000015
14293.0,5981.0,0.062408171832365494,892.0,5373979.404888857,41,0.062408171832365494,0.0,72487.19999999925
21254.0,11610.0,0.18170697280511905,3862.0,22697051.960502893,43,0.17841347511056743,70.0,345176.0460031405
97161.0,38615.0,0.11474768682907752,11149.0,59448350.840235144,46,0.11196879406346168,270.0,786504.0760449916
25926.0,9506.0,0.09160688112319679,2375.0,10752056.93581444,48,0.0907968834374759,21.0,173923.2558813598
39868.0,13917.0,0.08417778669609711,3356.0,13884675.686182518,50,0.08417778669609711,0.0,208948.80000000075
16650.0,6246.0,0.06888888888888889,1147.0,4884341.7777986545,51,0.06804804804804805,14.0,86348.26647074427
